EntityGlobalId,PSetName,PropName,PropValue
3UdjywU2L4v9tTcFw7B5hs,Pset_AirSideSystemInformation,Name,Floor 0
3UdjywU2L4v9tTcFw7B5hs,Pset_BuildingStoreyCommon,AboveGround,UNKNOWN
3UdjywU2L4v9tTcFw7B5hs,Pset_ProductRequirements,Name,Floor 0
3UdjywU2L4v9tTcFw7B5hs,Pset_ProductRequirements,Category,Levels
3UdjywU2L4v9tTcFw7B5hs,Custom_Pset,SpaceName,Floor 0
3UdjywU2L4v9tTcFw7B5hs,Constraints,Elevation,0.0
3UdjywU2L4v9tTcFw7B5hs,Dimensions,Computation Height,0.0
3UdjywU2L4v9tTcFw7B5hs,Identity Data,Structural,False
3UdjywU2L4v9tTcFw7B5hs,Identity Data,Building Story,True
3UdjywU2L4v9tTcFw7B5hs,Identity Data,Name,Floor 0
3UdjywU2L4v9tTcFw7B5hs,Other,Category,Levels
3UdjywU2L4v9tTcFw7B5hs,Other,Family,Level: Elevationsmarkering
3UdjywU2L4v9tTcFw7B5hs,Other,Family and Type,Level: Elevationsmarkering
3UdjywU2L4v9tTcFw7B5hs,Other,Type,Level: Elevationsmarkering
3UdjywU2L4v9tTcFw7B5hs,Other,Type Id,Level: Elevationsmarkering
3UdjywU2L4v9tTcFw7B5hs,Constraints(Type),Elevation Base,Project Base Point
3UdjywU2L4v9tTcFw7B5hs,Graphics(Type),Color,0
3UdjywU2L4v9tTcFw7B5hs,Graphics(Type),Line Pattern,Centre
3UdjywU2L4v9tTcFw7B5hs,Graphics(Type),Line Weight,1
3UdjywU2L4v9tTcFw7B5hs,Graphics(Type),Symbol,"Level-symbol, cirkel: Level-symbol, cirkel"
3UdjywU2L4v9tTcFw7B5hs,Graphics(Type),Symbol at End 1 Default,False
3UdjywU2L4v9tTcFw7B5hs,Graphics(Type),Symbol at End 2 Default,True
3UdjywU2L4v9tTcFw7B5hs,Identity Data(Type),Type Name,Elevationsmarkering
3UdjywU2L4v9tTcFw7B5hs,Other(Type),Category,Levels
3UdjywU2L4v9tTcFw7B5hs,Other(Type),Family Name,Level
3UdjywU2L4v9tTcFw7B5bt,Pset_AirSideSystemInformation,Name,Floor 1
3UdjywU2L4v9tTcFw7B5bt,Pset_BuildingStoreyCommon,AboveGround,UNKNOWN
3UdjywU2L4v9tTcFw7B5bt,Pset_ProductRequirements,Name,Floor 1
3UdjywU2L4v9tTcFw7B5bt,Pset_ProductRequirements,Category,Levels
3UdjywU2L4v9tTcFw7B5bt,Custom_Pset,SpaceName,Floor 1
3UdjywU2L4v9tTcFw7B5bt,Constraints,Elevation,2400.0
3UdjywU2L4v9tTcFw7B5bt,Dimensions,Computation Height,0.0
3UdjywU2L4v9tTcFw7B5bt,Identity Data,Structural,False
3UdjywU2L4v9tTcFw7B5bt,Identity Data,Building Story,True
3UdjywU2L4v9tTcFw7B5bt,Identity Data,Name,Floor 1
3UdjywU2L4v9tTcFw7B5bt,Other,Category,Levels
3UdjywU2L4v9tTcFw7B5bt,Other,Family,Level: Elevationsmarkering
3UdjywU2L4v9tTcFw7B5bt,Other,Family and Type,Level: Elevationsmarkering
3UdjywU2L4v9tTcFw7B5bt,Other,Type,Level: Elevationsmarkering
3UdjywU2L4v9tTcFw7B5bt,Other,Type Id,Level: Elevationsmarkering
3UdjywU2L4v9tTcFw7B5bt,Constraints(Type),Elevation Base,Project Base Point
3UdjywU2L4v9tTcFw7B5bt,Graphics(Type),Color,0
3UdjywU2L4v9tTcFw7B5bt,Graphics(Type),Line Pattern,Centre
3UdjywU2L4v9tTcFw7B5bt,Graphics(Type),Line Weight,1
3UdjywU2L4v9tTcFw7B5bt,Graphics(Type),Symbol,"Level-symbol, cirkel: Level-symbol, cirkel"
3UdjywU2L4v9tTcFw7B5bt,Graphics(Type),Symbol at End 1 Default,False
3UdjywU2L4v9tTcFw7B5bt,Graphics(Type),Symbol at End 2 Default,True
3UdjywU2L4v9tTcFw7B5bt,Identity Data(Type),Type Name,Elevationsmarkering
3UdjywU2L4v9tTcFw7B5bt,Other(Type),Category,Levels
3UdjywU2L4v9tTcFw7B5bt,Other(Type),Family Name,Level
