EntityGlobalId,PSetName,PropName,PropValue
2DedXznHnDaeAWsrTB_qBb,Pset_ConcreteElementGeneral,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_qBb,Pset_DoorCommon,IsExternal,False
2DedXznHnDaeAWsrTB_qBb,Pset_DoorCommon,Reference,D9
2DedXznHnDaeAWsrTB_qBb,Pset_DoorCommon,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_qBb,Pset_ManufacturerTypeInformation,Manufacturer,Door: Manufacturer
2DedXznHnDaeAWsrTB_qBb,Pset_ProductRequirements,Category,Doors
2DedXznHnDaeAWsrTB_qBb,Pset_QuantityTakeOff,Reference,D9
2DedXznHnDaeAWsrTB_qBb,Dörrförteckning,Dörrtyp,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBb,Dörrförteckning,Våning,Level: Floor 0
2DedXznHnDaeAWsrTB_qBb,Dörrförteckning,Bredd,910.0
2DedXznHnDaeAWsrTB_qBb,Dörrförteckning,Höjd,2110.0
2DedXznHnDaeAWsrTB_qBb,Dörrförteckning,Tillverkare,Door: Manufacturer
2DedXznHnDaeAWsrTB_qBb,Dörrförteckning,Littera,Door: Littera
2DedXznHnDaeAWsrTB_qBb,Custom_Pset,TypeMark,Door: Type Mark
2DedXznHnDaeAWsrTB_qBb,Custom_Pset,Keynote,Door: Keynote
2DedXznHnDaeAWsrTB_qBb,Custom_Pset,StoreyName,Level: Floor 0
2DedXznHnDaeAWsrTB_qBb,Custom_Pset,TypeDescription,Door: Description
2DedXznHnDaeAWsrTB_qBb,Custom_Pset,StatusConstruction,Nytt
2DedXznHnDaeAWsrTB_qBb,Custom_Pset,NetArea,3.05785000001149
2DedXznHnDaeAWsrTB_qBb,Custom_Pset,Height,2110.0
2DedXznHnDaeAWsrTB_qBb,Custom_Pset,Width,910.0
2DedXznHnDaeAWsrTB_qBb,Custom_Pset,SillHeight,0.0
2DedXznHnDaeAWsrTB_qBb,Custom_Pset,Hyperlink,Door: URL
2DedXznHnDaeAWsrTB_qBb,Constraints,Level,Level: Floor 0
2DedXznHnDaeAWsrTB_qBb,Constraints,Sill Height,0.0
2DedXznHnDaeAWsrTB_qBb,Dimensions,Area,3.05785000001149
2DedXznHnDaeAWsrTB_qBb,Dimensions,Volume,0.134484500000629
2DedXznHnDaeAWsrTB_qBb,Identity Data,Mark,137
2DedXznHnDaeAWsrTB_qBb,Materials and Finishes,Dörrblad,Dörrar - dörrblad
2DedXznHnDaeAWsrTB_qBb,Other,Category,Doors
2DedXznHnDaeAWsrTB_qBb,Other,Family,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBb,Other,Family and Type,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBb,Other,Head Height,2110.0
2DedXznHnDaeAWsrTB_qBb,Other,Host Id,Basic Wall: Innervägg 170mm Paroc
2DedXznHnDaeAWsrTB_qBb,Other,Type,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBb,Other,Type Id,Innerdörr - standard: D9
2DedXznHnDaeAWsrTB_qBb,Phasing,Phase Created,Nytt
2DedXznHnDaeAWsrTB_qBa,Pset_ConcreteElementGeneral,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_qBa,Pset_DoorCommon,IsExternal,False
2DedXznHnDaeAWsrTB_qBa,Pset_DoorCommon,Reference,D9
2DedXznHnDaeAWsrTB_qBa,Pset_DoorCommon,FireRating,Door: Fire Rating
2DedXznHnDaeAWsrTB_qBa,Pset_ManufacturerTypeInformation,Manufacturer,Door: Manufacturer
