EntityGlobalId,PSetName,PropName,PropValue
2DedXznHnDaeAWsrTB_qBp,Constraints,Base Constraint,Level: Floor 0
2DedXznHnDaeAWsrTB_qBp,Constraints,Base Extension Distance,0.0
2DedXznHnDaeAWsrTB_qBp,Constraints,Base is Attached,False
2DedXznHnDaeAWsrTB_qBp,Constraints,Base Offset,0.0
2DedXznHnDaeAWsrTB_qBp,Constraints,Cross-Section,Vertical
2DedXznHnDaeAWsrTB_qBp,Constraints,Location Line,Wall Centerline
2DedXznHnDaeAWsrTB_qBp,Constraints,Related to Mass,False
2DedXznHnDaeAWsrTB_qBp,Constraints,Room Bounding,True
2DedXznHnDaeAWsrTB_qBp,Constraints,Top Constraint,Level: Floor 1
2DedXznHnDaeAWsrTB_qBp,Constraints,Top Extension Distance,0.0
2DedXznHnDaeAWsrTB_qBp,Constraints,Top is Attached,True
2DedXznHnDaeAWsrTB_qBp,Constraints,Top Offset,0.0
2DedXznHnDaeAWsrTB_qBp,Constraints,Unconnected Height,2400.0
2DedXznHnDaeAWsrTB_qBp,Dimensions,Area,48.0210989466982
2DedXznHnDaeAWsrTB_qBp,Dimensions,Length,22060.0
2DedXznHnDaeAWsrTB_qBp,Dimensions,Volume,25.1098377156085
2DedXznHnDaeAWsrTB_qBp,Other,Category,Walls
2DedXznHnDaeAWsrTB_qBp,Other,Family,Basic Wall: Yttervägg Paroc
2DedXznHnDaeAWsrTB_qBp,Other,Family and Type,Basic Wall: Yttervägg Paroc
2DedXznHnDaeAWsrTB_qBp,Other,Type,Basic Wall: Yttervägg Paroc
2DedXznHnDaeAWsrTB_qBp,Other,Type Id,Basic Wall: Yttervägg Paroc
2DedXznHnDaeAWsrTB_qBp,Phasing,Phase Created,Nytt
2DedXznHnDaeAWsrTB_qBp,Structural,Enable Analytical Model,False
2DedXznHnDaeAWsrTB_qBp,Structural,Structural,False
2DedXznHnDaeAWsrTB_qBp,Structural,Structural Usage,Non-bearing
2DedXznHnDaeAWsrTB_qBp,Pset_ElementShading,Roughness,304.8
2DedXznHnDaeAWsrTB_qBp,Pset_ProductRequirements,Category,Walls
2DedXznHnDaeAWsrTB_qBp,Pset_QuantityTakeOff,Reference,Yttervägg Paroc
2DedXznHnDaeAWsrTB_qBp,Pset_ReinforcementBarPitchOfWall,Reference,Yttervägg Paroc
2DedXznHnDaeAWsrTB_qBp,Pset_WallCommon,Reference,Yttervägg Paroc
2DedXznHnDaeAWsrTB_qBp,Pset_WallCommon,IsExternal,True
2DedXznHnDaeAWsrTB_qBp,Pset_WallCommon,ExtendToStructure,True
2DedXznHnDaeAWsrTB_qBp,Pset_WallCommon,LoadBearing,False
2DedXznHnDaeAWsrTB_qBp,Väggförteckning,Typ,Basic Wall: Yttervägg Paroc
2DedXznHnDaeAWsrTB_qBp,Väggförteckning,Littera,YV7
2DedXznHnDaeAWsrTB_qBp,Väggförteckning,Längd,22060.0
